7020157;131001C086      ;0;57;2013-10-01 20:50:06.000;2013-10-01 20:53:59.000;233;NULL;1;1
7020223;131001C086      ;0;65;2013-10-01 20:53:59.000;2013-10-01 20:55:04.000;65;NULL;1;1
7020247;131001C086      ;0;63;2013-10-01 20:55:04.000;2013-10-01 20:58:01.000;177;NULL;1;1
7020283;131001C086      ;0;76;2013-10-01 20:58:01.000;2013-10-01 20:58:21.000;20;NULL;1;1
7020286;131001C086      ;0;77;2013-10-01 20:58:21.000;2013-10-01 21:05:08.000;407;NULL;1;1
7020366;131001C086      ;0;92;2013-10-01 21:05:08.000;2013-10-01 21:06:12.000;64;NULL;1;1
7020374;131001C086      ;0;78;2013-10-01 21:06:12.000;2013-10-01 21:16:19.000;607;NULL;1;1
7020493;131001C031      ;0;256;2013-10-01 21:15:45.000;2013-10-01 21:16:00.000;15;NULL;1;1
7020495;131001C031      ;0;256;2013-10-01 21:16:00.000;2013-10-01 21:16:13.000;13;NULL;1;1
7020499;131001C031      ;0;257;2013-10-01 21:16:13.000;2013-10-01 21:18:42.000;149;NULL;1;1
7020501;131001C086      ;0;91;2013-10-01 21:16:19.000;2013-10-01 21:17:12.000;53;NULL;1;1
7020509;131001C086      ;0;84;2013-10-01 21:17:12.000;2013-10-01 21:17:46.000;34;NULL;1;1
7020515;131001C086      ;0;94;2013-10-01 21:17:46.000;2013-10-01 21:18:23.000;37;NULL;1;1
7020521;131001C086      ;0;80;2013-10-01 21:18:23.000;2013-10-01 21:39:17.000;1254;NULL;1;1
7020524;131001C031      ;0;256;2013-10-01 21:18:42.000;2013-10-01 21:19:03.000;21;NULL;1;1
7020529;131001C031      ;0;253;2013-10-01 21:19:03.000;2013-10-01 21:21:50.000;167;NULL;1;1
7020553;131001C031      ;0;256;2013-10-01 21:21:50.000;2013-10-01 21:22:13.000;23;NULL;1;1
7012753;131001C031      ;0;51;2013-10-01 08:17:34.000;2013-10-01 08:19:26.000;112;NULL;1;1
